Device,Title,ReviewText,SubmissionText,UserNickname
Galaxy-s7,This phone has everything I expected in a smartphone.,This is my first smartphone and I am still exploring all of its functions.  So far I am very happy with the design and performance of the phone.,2017-02-04T02:33:4,JoesS7
Galaxy-s7,Love it!,Love this phone. So glad to finally be back to a  Samsung device. Such a great phone to have with good quality,2017-02-04T01:59:2,Katie97
Galaxy-s7,Love!!!,"This phone is amazing. Easy to navigate Lita of storage, and the personalization  options are almost end less. And it takes pretty good pictures too! I would for sure recommend  this to all of my friends.",2017-02-04T00:03:5,Ablischke2009
Galaxy-s7,Great Phone! Awesome features.,I previously had a S6 phone and liked it very much so it was easy to upgrade to a S7. It has an excellent camera which I was very interested in.,2017-02-03T22:39:3,Marieski
Galaxy-s7,Nice upgrade from s4,"I have been a galaxy fan for years. Had my s4 since that first came out, and I was hesitant  to upgrade since I liked that one so much. This s7 is way better and faster than the s4 and it was exactly what I was hoping for. The ease of moving pictures and numbers over was much easier than anticipated. Personally, I think for the price of the phone it should have included the wireless charger. This phone was more than my rent, which is probably  another reason I was hesitant  to switch, but I needed a new phone and I am glad it was worth the switch.",2017-02-03T04:32:2,Kelsey8183
Galaxy-s7,Love this phone.,Battery life is very good.   Screen is easier to read. Easy to access multiple  email accounts  Fits in my purse,2017-02-02T17:57:2,Senior life
Galaxy-s7,Review of Galaxy s7,Very pleased with device. I really like the monthly payment plan. The Samsung Switch made it very easy to get started on my new phone.,2017-02-02T15:09:4,Jimmy  T
Galaxy-s7,Really glad I got this phone,"Awesome phone! Tons of cool and useful features. Easy to use, not a brick, what else could ya ask for?",2017-02-02T07:08:2,armyty89
Galaxy-s7,It's super fast,It's a good phone just wish it was cheaper. It's fa start and comes equipped with a lot of good apps,2017-02-01T20:30:0,Ateam5743
Galaxy-s7,Fast processor.,"Great device, really fast and responsive, opens apps very quickly and I can surf the Web and watch video's without interruptions.",2017-01-31T20:34:5,Delamora2038
Galaxy-s7,Love it. Great phone.,Great phone. Excellent features. Great battery life. Easy to use. Went from a droid to this phone. So glad I did.,2017-01-30T21:18:5,Cjmasterson
Galaxy-s7,Great device,The camera is great. The battery life is great. Smartswitch made it simple to transfer all info from old device,2017-01-30T19:18:5,Mjp2368
Galaxy-s7,Does everything that I need it to.,It was easy to transition to this from my previous phone. It is much faster and has a lot  better battery life than the one I used to have.,2017-01-30T15:52:0,BigO320
Galaxy-s7,"Good phone, easy to use. Got a good deal on the purchase","Great phone, service. Sales Representative was great .  The last one was the best.  Been a Verizon customer for 15 years. Not planning on changing now",2017-01-29T10:45:5,Patrick John
Galaxy-s7,I love Verizon wireless!!!!!!,I have a samsung galaxy s7 and it is so much better then the s5. It's a little bit more bigger and playing games on it is a lot better and not to talk about the gigabytes (32) a lot more then the s5 down side is it doesn't have a place to put an SD card but other then that I would recommend this phone to anyone. Also you will love taking pictures,2017-01-29T03:33:5,Danie2017
Galaxy-s7,Fantastic leap from S4,"After spending two comfortable years with the S4, I was apprehensive of having to start all over with a new phone. Enter a wonderful Verizon Rep at the local store who answered all my questions and was there for me when I needed help with a few of the newer bells and whistles. I am one week into the new ownership and am loving it. It's fast, durable, and fun to work with. I love the ease of moving apps from page to page",2017-01-29T00:22:4,vhill1953
Galaxy-s7,Much better than my old iphone,Really happy with the switch to the Samsung Galaxy S7 from my iphone.  It's more logical for me as I come from a Windows and Google background.  The apple platform just never made sense to me and my new Galaxy is so much easier to use.The screen is very clear and sharp. Sound quality is great and I can back up my pictures easily into my Google Cloud,2017-01-28T21:53:4,Degg
Galaxy-s7,I love everything about the phone and it's features are easy to understand.,I'm enjoying everything about my phone so much better then the other phones I've ever had through out the years.,2017-01-28T21:21:1,Pszoc71
Galaxy-s7,My favorite phone so far!,"Ive had samsung phones pretty much since ive had a cell phone. I switched from the note 5 which i thought was an awesome phone. The camera on this phone is pretty amazing. The pictures are so clear and focused.  Other than that they are pretty similar phones. The only thing that i miss sometimes is the pen, but i still like this phone better!",2017-01-28T20:53:5,Andert19
Galaxy-s7,So fast. Love this!,"Verizon has always worked for me. Many moons ago, I had a tracking, and then kept upgrading. Never fail connections, or service.",2017-01-27T21:30:1,Gma27
Galaxy-s7,Great phone,"I upgraded from galaxy 6 that had ALOT of issues. So far this phone seems to be working well. I can download apps and even use them, big improvement from what I had!",2017-01-27T21:26:3,Fawn17
Galaxy-s7,Love it,I used to be an iPhone person but 2 years ago switch to the Samsung Galaxy S5 and found it to be more user friendly. Recently I upgraded to the Samsung Galaxy S7 and I'm still in love.,2017-01-27T20:32:4,Julia N
Galaxy-s7,From Galaxy s4 to Galaxy s7 and Samsung Rocks,I love this new phone and the Camers...my last one was a s4 so I knew how functions work.    Easy transition and I love this slick look.,2017-01-27T00:35:4,Annie 1102
Galaxy-s7,Love the phone! Hate the battery life!,"I went back to the Galaxy S series after a few years with the Motorola Droid. I am completely satisified with everything the phone has to offer except the battery life. I have to charge it atleast twice a day. Thank goodness for the rapid charge feature.  I really don't feel like I use it as much as others but the battery drains really fast. I'm not a big app user. My biggest use is on facebook while looking at pics. However, even being idle at night, it rapidly drains. I've turned off most of my notifications. too.  Anyway, the size is perfect for me - not too big, not too small. It's got everything I need and more.",2017-01-26T19:47:1,ReneeN
Galaxy-s7,great phone...easy to navigate...this is the phone I should have had all al,the product is great...I like the features...and something I have not seen in a while was my being to transfer my information from my old phone...I was very impressed with that feature. I was a little concern about not having access to the battery but after speaking with the rep he assured of the quality of the S7 phones battery.,2017-01-26T19:41:0,poogey
Galaxy-s7,Myou Galaxy S7,"The Samsung Galaxy S7 is a great phone.  I especially love the wireless charging feature with the charging stand.  The dual camera is a very nice feature also.  The size of the phone fits my hand isn't so large, that it is difficult to carry with me at all times.  Please keep this phone available in the future.",2017-01-26T12:55:2,Centertap
Galaxy-s7,Love Samsung Galaxy,"I've had the Samsung Galaxy 3, 5, and now 7, each one a little better then the last. You can't beat the picture quality.",2017-01-26T01:41:5,DJ 68
Galaxy-s7,Great New Technology,Excellent screen image quality. Nice applications newer applications. Better speed. Battery life is very good. I like wireless charging a lot.,2017-01-25T19:07:1,yaylinux
Galaxy-s7,Great phone,"Love the design and ease of use, so far have not lost or dropped calls where I previously have before with other carriers...definitely  recommend this to all my friends",2017-01-25T03:57:3,Lil Bit
Galaxy-s7,Best phone yet.,"I'm a late bloomer to the smart phones. The Samsung Galaxy S7 IS my second Android. \r\nI find it very easy to use.  The APPS are similar to my HTC one, but only a million times faster. The pictures are incredible.",2017-01-25T03:53:4,Top Cop
Galaxy-s7,"Very easy to transition, it gives more respect to the android product. It doesn't try to mimic other phones, it has its own personality.","Everyone loves apple products, but android does not try to be better, it is better because it's more reliable",2017-01-24T21:58:0,White Lightning
Galaxy-s7,Great phone!,Great phone. Was a seamless transition from my S6. It is light and fast. My S7 has really good sound quality. All the same features ando more.,2017-01-24T20:36:5,Laughing
Galaxy-s7,Great Phone,I am so glad I did not get another Motorola because I absolutely love this phone.  I feel it is the ultimate.  I would challenge any Iphone owner.,2017-01-24T16:03:5,Italian00
Galaxy-s7,Fabulous camera!,Awesome picture quality!  Its not huge and bulky the pictures are beautiful and full of vibrant color.  Very happy with my choice in phone.,2017-01-23T20:22:2,czeverquits
Galaxy-s7,Galaxy S7,"Faster and better screen resolution than S5 and S6, more options better camera and blue tooth connection.",2017-01-23T01:13:3,katymar
Galaxy-s7,"Loved my Windows phone, but this is a great replacement!","I was a huge fan of the Nokia Lumia line of phones, but Verizon stopped carrying the upgrades for this line, and the selection of Windows apps was dismal. Switching to this phone has been great - there are an indefinite number of apps for Google Play, it's user-friendly, and it has some great capabilities with my Samsung Galaxy Tab A. While I feel that my Nokia Lumia took better nighttime photos, I am overall happy with this phone's camera and the ease with which I can turn data, wifi and location on and off and the \",2017-01-22T23:50:2,krystlechc
Galaxy-s7,Easy transition to S7,Only miss my larger screen and pen with Samsung Note 5.  That's all I have to note..................,2017-01-22T22:27:3,Ridiculous2
Galaxy-s7,My opinion up to this point.,"A tremendous upgrade from my S5, simply put, better in every way!  But still way too early for me to make a valid review.",2017-01-22T22:22:0,Trnix
Galaxy-s7,New phone,Better than my old phone was. The review guestions are to long for the required information bla bla bla,2017-01-22T21:22:4,Tab 1
Galaxy-s7,Awesome... recommended,Good device i recomended.......................................................... .  .......    .....,2017-01-22T19:51:1,Nerudas
Galaxy-s7,Awesome,"Really good phone. The on-board features are great and fun to use, such as being able to make the screen smaller and shift to the side for one handed use. Runs all my apps with ease",2017-01-22T17:37:4,Rastagoat
Galaxy-s7,Easy to use and fun to navigate,"Easy to use and fun to navigate, with just the right amount of buttons you need. Once you get used to the format, it's a breeze getting around and easy to clear the cache. I like that it works the same way as my Samsung 9.6 tablet so no added learning curve.",2017-01-22T17:05:5,nonnatoni
Galaxy-s7,Easier than iPhone,I'll admit that I'm not very tech savvy and my prior phone (iPhone) really made me feel dumb. \r\nI was always bugging anyone I knew that had one with so many questions. \r\nI counted down the days until I was eligible for an upgrade. \r\nMy son and sister both have Samsung phones and had told me on numerous occasions that I would be much happier with one. \r\nI now have the Samsung GalaxyS7 and I love it. \r\nIt's only been a week but I feel like I already have mastered so much more on this phone than the other one I had for years.,2017-01-21T19:56:5,Cherry8
Galaxy-s7,Love it!!,This phone has a better display and speaker than my S4. The camera makes better quality pictures. Easy to operate,2017-01-21T18:55:5,Zoeysnana
Galaxy-s7,New S7: Happy with upgrade and anxious to learn new features.  So far....a definite 10!!  Still need to get familiar with many of the features.,Split screen is a winner and battery and power  saving features are simply awesome.  Love the screen clarity and sharp camera.,2017-01-21T16:18:4,Slsgs7
Galaxy-s7,S7 Upgrade,I upgraded from an S4 to an S7 and I really love this phone.  I love the finergprint ID feature to unlock the phone and many of the other features of this phone.,2017-01-21T04:12:5,MyS7upgrade
Galaxy-s7,Nice phone,This is a great phone. It is easy to use. I love the in the gold color. This is my 3rd Galaxy home and I've been very happy with every one of them. I highly recommend this phone.,2017-01-21T00:07:2,Lilac339
Galaxy-s7,Easy to use.,"The screen is nice and clear. Easy to use, the set up is easy. I really like the Samsung Galaxy S7. My information was put on to my new phone with no problem.\r\nI did not lose any of my pictures or contacts. I am a happy customer.",2017-01-20T23:43:3,the force will be with me
Galaxy-s7,Great product,Love samsung galaxy and love Verizon best service all around. Easy accessible to online and customer service,2017-01-20T20:03:1,Mon3030
Galaxy-s7,Samsung S7,Great phone!  East to transfer my info even from an S3.  Stick with Samsung.  Have an I-phone for work and the Galaxy S7 blows it away.,2017-01-20T19:36:4,Hunter3967
Galaxy-s7,Feedback on S7,Excellent product design and service in store provided by Josh. This requirement for a certain number of characters is ridiculous.  I will never respond to one of these requests again!,2017-01-19T21:20:3,Hank the Great
Galaxy-s7,Great device,"This phone replaced a well-loved LG G3, so far,  it has been a great choice.  I love the features and it was an easy transition.",2017-01-19T20:34:2,Suzp
Galaxy-s7,"Great phone and really helpful, easy switch","Comfortable, classy looking, lovely functions, fits well in hand, tempered glass front, very easy to use",2017-01-19T07:00:3,Me and you two 9999999o
Galaxy-s7,First time user,"I'm a fan of Samsung phones!  However more for the geek in mind. Try it, if you don't mind the challenge.",2017-01-19T02:14:2,Fiery
Galaxy-s7,Love the expandable memory! Put in 64 G...helps me a lot because I use my phone for my Uber and Lyft ride share business! Everything transferred over!,Love this phone and would (and do) recommend it to anyone looking to purchase a new phone:-)                             ;-),2017-01-18T20:47:4,Carolines Galaxy 7
Galaxy-s7,new phone,I think the s5 was cool but not as cool as the s7 better quality faster cool down speed built in flashlight,2017-01-18T20:43:3,davidr2002
Galaxy-s7,had a flipphone like this better,trying to get into the smartphone age of doing things.had to have Granddaughter show me how to do somethings and i figured how to do others it is easy to use once i get started,2017-01-18T05:22:1,what do you want
Galaxy-s7,Great Phone,Great Phone. I am very pleased with the S7. I came from iPhones and ios. The Samsung is head and shoulders above the iPhone. No issues switching to the android platform. Highly recommend. Only drawbacks are battery life could be a little better.,2017-01-18T03:42:0,Egrah
Galaxy-s7,Great phone,Easy to use.  Seamless transition from S5 to S7 and from previous provider to Verizon. Greattach new features.,2017-01-17T23:21:2,cat3074
Galaxy-s7,Very easy to get used to.,"I like the extras that are on this model, meaning less apps to download. I like the fast charging too.",2017-01-17T23:03:1,Moby Freckles
Galaxy-s7,Good phone,Easy to use. Good reps working at the store. Good selection of phone to choose from too.Switching to Verizon was easy.,2017-01-17T21:23:1,land12
Galaxy-s7,Awesome phone!,"This phone is fast, charges quickly, and runs well. Good size, love the features on it! And the gold color is awesome",2017-01-17T20:05:4,Dancnqueen90210
Galaxy-s7,easy of use from old Mini droid to Samsung S7,"great easy to use, nice features, great apps, nice transition from Motorola Mini Droid\r\nlightweight, nice platinum color and clear protective case",2017-01-17T19:21:3,The Connector
Galaxy-s7,Great phone,"I bought this about a week ago, and do far my experience is great. I love it, I would recommend this.",2017-01-17T03:43:0,Brownxy
Galaxy-s7,Great phone,Great phone.  I had a Samsung 4 and this one is quite similar. Good quality photos and grsphics. Easy to use,2017-01-16T22:37:2,FletcherCrowe
Galaxy-s7,Great Features,Enjoying my new phone and its performance. Easy to use and operate. Love the upgraded camera and new apps,2017-01-16T20:34:1,Adroid1
Galaxy-s7,"Great phone, long lasting battery, bright screen",Overall very good service. Cost could be better. Needs better/more towers in rural areas. Needs less expensive signal amplifiers for insulated homes/buildings.,2017-01-16T14:59:5,ALJB
Galaxy-s7,Samsung Galaxy 7,Bought two weeks ago and am pleased with it.  It is a very good phone.  The staff was very helpful.  .,2017-01-16T12:38:0,Agrcowboy1
Galaxy-s7,Nice!,"Finally pulled the trigger and got the upgrade from my S5. Skipped the 6 because I don't like change, but finally I broke my screen and felt it was time. The S7 is really cool, not a huge fan of the price but it's no more expensive than any of the other leading phones I ordered  some of thes and can't wait to see some VR women!",2017-01-16T01:24:5,Bornsavage1983
Galaxy-s7,Samsung s7,"I brought this for my wife for Christmas, but i play with more than she does.  Should have got one also.  Great phone.",2017-01-15T22:38:4,sheplawn
Galaxy-s7,Good,Had to upgrade to this model after damaging my phone in a car accident I like this upgrade happy with it so far,2017-01-15T19:52:5,752 Sweet pea
Galaxy-s7,Great phone,"After looking at all my options, I landed on the S7.  All the reviews were right, the phone is everything I expected and more.",2017-01-15T14:14:1,MartyJV
Galaxy-s7,My Samsung Galaxy S7,Love it!  It's  pretty and has great features.  Easy to you for a non techy person.  Meets my needs perfectly.,2017-01-14T19:52:3,Sharp59
Galaxy-s7,Transitioning from the iOS to the Samsung Galaxy s7 was much easier than I initially expected it to be.,"This is an amazing phone. First and foremost I love the customizability of it. It's quite literally a personal companion down to the nitty gritty. Transferring information from the iOS was easy too. Unlike iTunes, Samsung is made to be a compatible devise per each individual user. I love this phone. Obviously being waterproof is an outstanding perk. I used to think the battery life of the iOS was something to be proud of, but the galaxy s7 has a tremendous battery life and charges 100% faster. That helps so you don't go to bed with your phone plugged in and when it's done charging it doesn't just continually burn up the battery. You charge it as its needed and that's that. So far I have yet to find anything I dislike about the Samsung Galaxy s7. Highly recommend this phone.",2017-01-14T18:17:5,GoGalaxybyBeefy
Galaxy-s7,Great phone,Upgraded my phone. Good choice. We have used Verizon since they came to TX. Would no think of using another phone.,2017-01-14T15:18:1,Hope5215
Galaxy-s7,SAMSUNG all the way! Will never use another brand of phone!,I have had all of the SAMSUNG galaxy phones starting with the original all the way to the S7. I cannot wait for the S8. IPhone's suck!,2017-01-14T03:04:1,InOut22408
Galaxy-s7,Easy transition form the iPhone 6s,"I have had my Galaxy S7 for less then a week now, and I have to admit - for the first 2 or 3 days I was pretty hesitant about keeping it.  However, I am now sold on the phone.  It can do so much more then my previous iPhone 6s and it has a lot more power behind it.  \r\n\r\nThe switch over, which I thought was going to be very difficult, was actually pretty simple, and I was able to do it compleatly from home.  Yes, even switching over my contacts!",2017-01-13T23:37:5,IntrepidSky
Galaxy-s7,Great phone!,"I bought the phone a week ago, and I am so satisfied with the phone.  Excellent camera, and features.",2017-01-13T21:44:1,Sflores11
Galaxy-s7,LOVE IT!,I love the Samsung Galaxy 7! I am so glad I chose this phone. It is easy to use and the features  are nice.,2017-01-13T21:07:4,DebbieM1970
Galaxy-s7,So far good,Phone so far is good signal bars could be better. I was with at&the for 30 yes they got ridiculous they wouldn't fix the issue so I swithched,2017-01-13T20:37:3,Gregg15851
Galaxy-s7,All the features,It's great. It's easier to use. There is more I can do on this phone. I don't have any complaints about the phone. Glade I got it.,2017-01-12T23:59:2,Sharon Douglas
Galaxy-s7,Like it,Good phone.  Easy to operate.  Fast response.  Like that it's thinner.  Easier to enter pin number.  Would buy again.,2017-01-12T23:14:2,pbelle
Galaxy-s7,Easy transition from the galaxy s3,Very happy I upgraded my phone. I would only change the curved sides on phone don't like that part of the phone.,2017-01-12T22:23:1,Countrymancrafter96
Galaxy-s7,Best phone,i just got this phone and it has amazing capabilities and smooth navigation through out the entire phone.,2017-01-12T15:59:4,drbowling31
Galaxy-s7,I Love My Phone!,"I got my phone a couple of months ago after upgrading from the Galaxy S5 and have no problems with it. I can go a whole day without charging until night time and then there are days I do have to charge during the day. It all depends on how I use my phone. I have a lot of apps that was transferred from the Galaxy  S5 but haven't activate all of them. If I had activated all of them, then I would be charging my phone twice or more a day.  BTW  I like the new style charger because the the hardly feels hot to the touch.\r\n\r\nI do have minor complaints.\r\n1- Not happy with a removable battery. It was the only I could shut off my other phones when they froze. This phone hasn't frozen so far.\r\n2- Being made of glass. More of a risk of being cracked. That was one of the reasons why I didn't want the iPhone.\r\n3- Needs sensitivity touch control when wearing gloves in the winter which they had on the Galaxy S5.\r\n4- Needs voice commands when using a Bluetooth when driving. I had that command when I had a flip phone (I forgot which cell phone company had that. All I had to do was press the button on my Bluetooth and the voice commands came on.) so why can't a smart phone have it without going to the PlayStore and downloading Google Voice? It should be automatically programmed into the phone just like my old flip phone?\r\n\r\nOtherwise, I am very happy with the phone. It is very easy to use and Verizonwireless customer service is very helpful when I am in a jam.",2017-01-12T15:49:1,beedee11126
Galaxy-s7,I love my new phone!,Just switched from an iPhone 5c because of all the things I don't like about Apple. Wanted to give Android a try. I'm so glad that I did. I find it so much more user friendly and I'm really happy with it!,2017-01-12T00:35:4,Emma Jane
Galaxy-s7,Great features,Absolutely love the color of my Galaxy S7 Edge and the size is perfect The transition from one phone to the next is very simple and easy to manipulate around,2017-01-12T00:22:3,Loop83
Galaxy-s7,Definitely an improvment over my S4.,"The S7 is what I wanted when I bought my old S4!\r\n\r\nThere are several advantages over my old S4. The responsiveness is vastly improved. The extra memory (32G vs 16G) allows for many more apps. I had hit the limit with the S4. The camera works the way that you would expect a good one to work. The one in the S4 was more often than not a disappointment. The S7 camera focuses nearly instantaneously and can be set to track and stay focused on the object (person, hawk flying, etc.). The delay in the S4 was always frustrating and it would often re-focus on the wrong object in the frame.\r\n\r\nOne thing to be aware of is the need for a good protective cover. The phone is slippery! I purchased a Spigen cover with a protective plastic edge that both looks great and is functional. It does not cover the side buttons. I might switch to one like I had on the S4 that does cover the buttons because it is too easy to accidentally press the power button on the side and wake the phone, but that's in the personal preference area. The cover should have a ridge above the screen because on the S7 the glass sits proud of the edge, exposed in a drop.\r\n\r\nThe battery life is much better than it is in the S4 as well.\r\n\r\nI can say that I haven't found anything negative to report on the S7 itself. I wouldn't have any other.",2017-01-11T22:47:4,dlr77
Galaxy-s7,Great phone!,This phone has all the features I wanted plus more!  It's very easy to use and I'm very pleased with it.,2017-01-11T22:43:1,Shellybell
Galaxy-s7,Galaxy series is the best,"Love the galaxy phones. I've had an s3, s5, and now s7. I also have a tab a. Great interface and dependability. The camera is crazy good.",2017-01-11T20:33:4,Attakid912
Galaxy-s7,Great phone,Easy transfer.  Love the folder feature to organize apps.  Very similar to older version so transition was user friendly.,2017-01-11T19:59:0,heymom17
Galaxy-s7,Love this phone.,Great voice activated camera feature as well as voice activated phone features make this phone super easy to use.,2017-01-11T15:06:4,Zazzle
Galaxy-s7,S7,Always owned a samsung they make a good reliable product would recommend the phone to anyone.Im sure the new one will be as good as the rest,2017-01-11T10:12:3,RLF II
